Categoría: Todas las categorías

Semana,chat: (Todo el mundo)
2020-12-06,20
2020-12-13,20
2020-12-20,20
2020-12-27,22
2021-01-03,21
2021-01-10,21
2021-01-17,20
2021-01-24,20
2021-01-31,20
2021-02-07,19
2021-02-14,19
2021-02-21,20
2021-02-28,17
2021-03-07,19
2021-03-14,18
2021-03-21,18
2021-03-28,19
2021-04-04,20
2021-04-11,19
2021-04-18,19
2021-04-25,20
2021-05-02,19
2021-05-09,20
2021-05-16,19
2021-05-23,19
2021-05-30,19
2021-06-06,19
2021-06-13,20
2021-06-20,19
2021-06-27,19
2021-07-04,19
2021-07-11,20
2021-07-18,20
2021-07-25,19
2021-08-01,20
2021-08-08,20
2021-08-15,19
2021-08-22,19
2021-08-29,19
2021-09-05,19
2021-09-12,19
2021-09-19,18
2021-09-26,18
2021-10-03,19
2021-10-10,19
2021-10-17,19
2021-10-24,18
2021-10-31,19
2021-11-07,18
2021-11-14,18
2021-11-21,17
2021-11-28,18
2021-12-05,18
2021-12-12,18
2021-12-19,18
2021-12-26,21
2022-01-02,17
2022-01-09,17
2022-01-16,16
2022-01-23,17
2022-01-30,16
2022-02-06,17
2022-02-13,16
2022-02-20,16
2022-02-27,16
2022-03-06,16
2022-03-13,16
2022-03-20,16
2022-03-27,17
2022-04-03,18
2022-04-10,18
2022-04-17,17
2022-04-24,18
2022-05-01,18
2022-05-08,18
2022-05-15,17
2022-05-22,18
2022-05-29,17
2022-06-05,17
2022-06-12,17
2022-06-19,18
2022-06-26,18
2022-07-03,17
2022-07-10,18
2022-07-17,18
2022-07-24,19
2022-07-31,19
2022-08-07,18
2022-08-14,18
2022-08-21,18
2022-08-28,18
2022-09-04,18
2022-09-11,17
2022-09-18,17
2022-09-25,18
2022-10-02,17
2022-10-09,17
2022-10-16,17
2022-10-23,17
2022-10-30,18
2022-11-06,17
2022-11-13,17
2022-11-20,17
2022-11-27,17
2022-12-04,23
2022-12-11,25
2022-12-18,25
2022-12-25,26
2023-01-01,28
2023-01-08,33
2023-01-15,34
2023-01-22,37
2023-01-29,40
2023-02-05,44
2023-02-12,39
2023-02-19,42
2023-02-26,42
2023-03-05,40
2023-03-12,48
2023-03-19,49
2023-03-26,48
2023-04-02,47
2023-04-09,47
2023-04-16,47
2023-04-23,50
2023-04-30,48
2023-05-07,49
2023-05-14,45
2023-05-21,47
2023-05-28,45
2023-06-04,47
2023-06-11,45
2023-06-18,42
2023-06-25,37
2023-07-02,36
2023-07-09,36
2023-07-16,35
2023-07-23,35
2023-07-30,36
2023-08-06,34
2023-08-13,34
2023-08-20,35
2023-08-27,37
2023-09-03,36
2023-09-10,40
2023-09-17,42
2023-09-24,42
2023-10-01,41
2023-10-08,40
2023-10-15,42
2023-10-22,43
2023-10-29,39
2023-11-05,45
2023-11-12,44
2023-11-19,45
2023-11-26,46
2023-12-03,46
2023-12-10,43
2023-12-17,39
2023-12-24,34
2023-12-31,36
2024-01-07,41
2024-01-14,42
2024-01-21,41
2024-01-28,43
2024-02-04,43
2024-02-11,44
2024-02-18,45
2024-02-25,47
2024-03-03,47
2024-03-10,48
2024-03-17,50
2024-03-24,45
2024-03-31,47
2024-04-07,50
2024-04-14,51
2024-04-21,53
2024-04-28,49
2024-05-05,50
2024-05-12,57
2024-05-19,59
2024-05-26,57
2024-06-02,58
2024-06-09,54
2024-06-16,53
2024-06-23,48
2024-06-30,45
2024-07-07,47
2024-07-14,46
2024-07-21,47
2024-07-28,45
2024-08-04,48
2024-08-11,51
2024-08-18,54
2024-08-25,56
2024-09-01,55
2024-09-08,58
2024-09-15,60
2024-09-22,63
2024-09-29,61
2024-10-06,64
2024-10-13,65
2024-10-20,66
2024-10-27,64
2024-11-03,69
2024-11-10,72
2024-11-17,72
2024-11-24,69
2024-12-01,69
2024-12-08,73
2024-12-15,65
2024-12-22,51
2024-12-29,53
2025-01-05,64
2025-01-12,67
2025-01-19,69
2025-01-26,69
2025-02-02,73
2025-02-09,73
2025-02-16,74
2025-02-23,73
2025-03-02,76
2025-03-09,76
2025-03-16,78
2025-03-23,80
2025-03-30,99
2025-04-06,94
2025-04-13,82
2025-04-20,87
2025-04-27,85
2025-05-04,87
2025-05-11,92
2025-05-18,87
2025-05-25,87
2025-06-01,87
2025-06-08,89
2025-06-15,87
2025-06-22,90
2025-06-29,80
2025-07-06,85
2025-07-13,82
2025-07-20,79
2025-07-27,84
2025-08-03,89
2025-08-10,86
2025-08-17,87
2025-08-24,94
2025-08-31,91
2025-09-07,91
2025-09-14,94
2025-09-21,94
2025-09-28,95
2025-10-05,98
2025-10-12,100
2025-10-19,99
2025-10-26,93
2025-11-02,99
2025-11-09,100
2025-11-16,98
2025-11-23,87
2025-11-30,91
2025-12-07,73
