domain,sld,tld,is_com,length,has_hyphen,has_digit,token_count,cluster_keyword,exact_match,age_years,true_distance,embedding_distance
chat.com,chat,.com,1,4,0,0,1,chat,1,4.472862087709626,0.0,
top-chat-solutions.com,top-chat-solutions,.com,1,18,1,0,3,chat,0,3.05579998521241,0.42613670806833764,
chatmy.com,chatmy,.com,1,6,0,0,1,chat,0,4.896952744864734,0.27718820647906306,
elitechatai.com,elitechatai,.com,1,11,0,0,1,chat,0,8.279792550905297,0.4467680784551829,
quickchathelp.com,quickchathelp,.com,1,13,0,0,1,chat,0,2.8849511723823236,0.1883449715335401,
chatmarket.ai,chatmarket,.ai,0,10,0,0,1,chat,0,2.884979591208374,0.4520166857044594,
securechat360.org,securechat360,.org,0,13,0,1,1,chat,0,8.56366017503583,0.4409400502484393,
chatbest.co,chatbest,.co,0,8,0,0,1,chat,0,5.26173509061362,0.17757261205196562,
truechat.org,truechat,.org,0,8,0,0,1,chat,0,2.5050667188134996,0.2553421188626761,
prochatservice.com,prochatservice,.com,1,14,0,0,1,chat,0,4.59760734669566,0.5589919163398911,
chatguide.com,chatguide,.com,1,9,0,0,1,chat,0,2.5141867321337887,0.053583158434113556,
chicagochat.com,chicagochat,.com,1,11,0,0,1,chat,0,2.5107013787087142,0.3331345515050982,
chatprime.com,chatprime,.com,1,9,0,0,1,chat,0,3.8388673530212585,0.26953231482304835,
chatla.com,chatla,.com,1,6,0,0,1,chat,0,1.0534092964415687,0.3988419745403538,
trustedchat1.com,trustedchat1,.com,1,12,0,1,1,chat,0,1.1794512648059208,0.45502943919687056,
simplechatlive24.com,simplechatlive24,.com,1,16,0,1,1,chat,0,2.369378021350628,0.3327821216742985,
chat-chicago.com,chat-chicago,.com,1,12,1,0,2,chat,0,1.8081447648147648,0.1910074482261813,
mychatassist.com,mychatassist,.com,1,12,0,0,1,chat,0,4.009026322766665,0.528251664867877,
expertchatai.co,expertchatai,.co,0,12,0,0,1,chat,0,1.9254997697380314,0.5559639300521241,
chat-team.com,chat-team,.com,1,9,1,0,2,chat,0,1.4227872206195502,0.35813674542582113,
chat-network101.com,chat-network101,.com,1,15,1,1,2,chat,0,7.999581768317509,0.40709921471607685,
bestchatmarket.com,bestchatmarket,.com,1,14,0,0,1,chat,0,2.899488145052337,0.15766927255756907,
chatexperts.com,chatexperts,.com,1,11,0,0,1,chat,0,3.457400211960079,0.401999203316898,
trustedchatapp.com,trustedchatapp,.com,1,14,0,0,1,chat,0,1.4122032709016272,0.560795290594751,
fastchatsolutions.com,fastchatsolutions,.com,1,17,0,0,1,chat,0,2.394969187138931,0.17041257695918263,
bostonchat2.com,bostonchat2,.com,1,11,0,1,1,chat,0,3.5486013992791805,0.17502076412216833,
chatsimple.com,chatsimple,.com,1,10,0,0,1,chat,0,1.664298733361791,0.17868928854466154,
