domain,sld,tld,is_com,length,has_hyphen,has_digit,token_count,cluster_keyword,exact_match,age_years,true_distance,embedding_distance
chat.com,chat,.com,1,4,0,0,1,chat,1,4.472862087709626,0.0,-1.986821492513021e-07
top-chat-solutions.com,top-chat-solutions,.com,1,18,1,0,3,chat,0,3.05579998521241,0.4261367080683376,0.459361473719279
chatmy.com,chatmy,.com,1,6,0,0,1,chat,0,4.896952744864734,0.277188206479063,0.22391041119893393
elitechatai.com,elitechatai,.com,1,11,0,0,1,chat,0,8.279792550905297,0.4467680784551829,0.5670574307441711
quickchathelp.com,quickchathelp,.com,1,13,0,0,1,chat,0,2.884951172382324,0.1883449715335401,0.33051788806915283
chatmarket.ai,chatmarket,.ai,0,10,0,0,1,chat,0,2.884979591208374,0.4520166857044594,0.48258980115254724
securechat360.org,securechat360,.org,0,13,0,1,1,chat,0,8.56366017503583,0.4409400502484393,0.5126575628916423
chatbest.co,chatbest,.co,0,8,0,0,1,chat,0,5.26173509061362,0.1775726120519656,0.34184416135152185
truechat.org,truechat,.org,0,8,0,0,1,chat,0,2.5050667188135,0.2553421188626761,0.2587932348251343
prochatservice.com,prochatservice,.com,1,14,0,0,1,chat,0,4.59760734669566,0.5589919163398911,0.3308955828348796
chatguide.com,chatguide,.com,1,9,0,0,1,chat,0,2.5141867321337887,0.0535831584341135,0.4776392380396525
chicagochat.com,chicagochat,.com,1,11,0,0,1,chat,0,2.5107013787087142,0.3331345515050982,0.4155834515889486
chatprime.com,chatprime,.com,1,9,0,0,1,chat,0,3.8388673530212585,0.2695323148230483,0.29842684666315716
chatla.com,chatla,.com,1,6,0,0,1,chat,0,1.0534092964415689,0.3988419745403538,0.4356022675832113
trustedchat1.com,trustedchat1,.com,1,12,0,1,1,chat,0,1.1794512648059208,0.4550294391968705,0.26955117781956994
simplechatlive24.com,simplechatlive24,.com,1,16,0,1,1,chat,0,2.369378021350628,0.3327821216742985,0.3131132324536642
chat-chicago.com,chat-chicago,.com,1,12,1,0,2,chat,0,1.8081447648147648,0.1910074482261813,0.5242139101028442
mychatassist.com,mychatassist,.com,1,12,0,0,1,chat,0,4.009026322766665,0.528251664867877,0.2658679087956747
expertchatai.co,expertchatai,.co,0,12,0,0,1,chat,0,1.9254997697380316,0.5559639300521241,0.45072734355926514
chat-team.com,chat-team,.com,1,9,1,0,2,chat,0,1.4227872206195502,0.3581367454258211,0.36467810471852624
chat-network101.com,chat-network101,.com,1,15,1,1,2,chat,0,7.999581768317509,0.4070992147160768,0.41852315266927087
bestchatmarket.com,bestchatmarket,.com,1,14,0,0,1,chat,0,2.899488145052337,0.157669272557569,0.3187076250712077
chatexperts.com,chatexperts,.com,1,11,0,0,1,chat,0,3.457400211960079,0.401999203316898,0.25080859661102295
trustedchatapp.com,trustedchatapp,.com,1,14,0,0,1,chat,0,1.4122032709016272,0.560795290594751,0.3462347388267517
fastchatsolutions.com,fastchatsolutions,.com,1,17,0,0,1,chat,0,2.394969187138931,0.1704125769591826,0.5116514364878337
bostonchat2.com,bostonchat2,.com,1,11,0,1,1,chat,0,3.5486013992791805,0.1750207641221683,0.43290257453918457
chatsimple.com,chatsimple,.com,1,10,0,0,1,chat,0,1.664298733361791,0.1786892885446615,0.2497197190920512
prochatguide.com,prochatguide,.com,1,12,0,0,1,chat,0,4.159599564088345,0.1660051128722981,0.49451490243275964
