domain,sld,tld,is_com,length,has_hyphen,has_digit,token_count,cluster_keyword,exact_match,age_years,true_distance,embedding_distance,S_k,slope_k,alpha_i,gamma_k,log_price_latent,price_latent,sale_prob,sold,log_price_obs,price_obs
chat.com,chat,.com,1,4,0,0,1,chat,1,4.472862087709626,0.0,,0.75,-1.675,0.2639217445308933,1.6645200727331941,2.253582509305834,9.521786695625229,0.3959205322349302,0,,
top-chat-solutions.com,top-chat-solutions,.com,1,18,1,0,3,chat,0,3.05579998521241,0.42613670806833764,,0.75,-1.675,0.0832164076082125,1.7132096978978928,1.5571236268605793,4.74515276677891,0.2869970826782247,0,,
chatmy.com,chatmy,.com,1,6,0,0,1,chat,0,4.896952744864734,0.27718820647906306,,0.75,-1.675,-0.3485817967741313,1.7709150364357946,1.1192093185705576,3.0624318377764252,0.22854354325583728,1,1.2291393499707304,3.4182863217096595
elitechatai.com,elitechatai,.com,1,11,0,0,1,chat,0,8.279792550905297,0.4467680784551829,,0.75,-1.675,-0.5016633749332395,1.748749421589123,0.6003725844392498,1.8227978199902124,0.17083242212336305,0,,
quickchathelp.com,quickchathelp,.com,1,13,0,0,1,chat,0,2.8849511723823236,0.1883449715335401,,0.75,-1.675,0.042464548960969586,1.8253934618803034,1.4605752559214438,4.308437269660738,0.2733687877756628,0,,
chatmarket.ai,chatmarket,.ai,0,10,0,0,1,chat,0,2.884979591208374,0.4520166857044594,,0.75,-1.675,0.4925333478687172,1.7005131937754239,1.506396034281473,4.510445974307434,0.27978611865223746,0,,
securechat360.org,securechat360,.org,0,13,0,1,1,chat,0,8.56366017503583,0.4409400502484393,,0.75,-1.675,-0.07983263119896197,1.8766825569038892,0.9624204771541222,2.618025681832637,0.20977110797347617,0,,
chatbest.co,chatbest,.co,0,8,0,0,1,chat,0,5.26173509061362,0.17757261205196562,,0.75,-1.675,-0.29843975568149383,1.796479556404654,0.8170366701043392,2.263781556643339,0.19339890311232225,0,,
truechat.org,truechat,.org,0,8,0,0,1,chat,0,2.5050667188134996,0.2553421188626761,,0.75,-1.675,0.06695089104768845,1.7727590364231058,0.7579573553168416,2.13391293977709,0.18702928923292123,0,,
prochatservice.com,prochatservice,.com,1,14,0,0,1,chat,0,4.59760734669566,0.5589919163398911,,0.75,-1.675,0.6373051335432158,1.7988544445827381,1.8170115034751693,6.153441405697657,0.32561357596496027,0,,
chatguide.com,chatguide,.com,1,9,0,0,1,chat,0,2.5141867321337887,0.053583158434113556,,0.75,-1.675,0.15095493457230066,1.7665993541187974,2.190792106387999,8.94229355794699,0.3854578843411606,1,2.244037482218023,9.43133336020688
chicagochat.com,chicagochat,.com,1,11,0,0,1,chat,0,2.5107013787087142,0.3331345515050982,,0.75,-1.675,0.18879069587329278,1.6375485943419117,1.2413438771330898,3.460260506505953,0.24396566640724604,1,1.3465230983187948,3.8440369302955166
chatprime.com,chatprime,.com,1,9,0,0,1,chat,0,3.8388673530212585,0.26953231482304835,,0.75,-1.675,0.42797952258969457,1.8009540784617182,1.7160049749309922,5.562262638941838,0.31028301427873844,0,,
chatla.com,chatla,.com,1,6,0,0,1,chat,0,1.0534092964415687,0.3988419745403538,,0.75,-1.675,0.16539508978433784,1.7743402889092355,1.679680029429923,5.36383942575576,0.304867762676744,1,1.7064242452399436,5.509226571921299
trustedchat1.com,trustedchat1,.com,1,12,0,1,1,chat,0,1.1794512648059208,0.45502943919687056,,0.75,-1.675,-0.27333939750605396,1.7236434389877797,1.260017290936358,3.5254824457309675,0.2463846988271906,1,1.3766070223335234,3.961437729315827
simplechatlive24.com,simplechatlive24,.com,1,16,0,1,1,chat,0,2.369378021350628,0.3327821216742985,,0.75,-1.675,-0.6105977331643127,1.8877943865133266,0.6942671716331682,2.002241236994879,0.1803448310508977,1,0.7281833050782249,2.071314241476929
chat-chicago.com,chat-chicago,.com,1,12,1,0,2,chat,0,1.8081447648147648,0.1910074482261813,,0.75,-1.675,-0.3225785919223918,1.8535550410714583,1.0827201393306252,2.9527003936875826,0.2240713742868407,0,,
mychatassist.com,mychatassist,.com,1,12,0,0,1,chat,0,4.009026322766665,0.528251664867877,,0.75,-1.675,-0.38665420678418616,1.9951085365263401,1.0186190688202503,2.7693678158313775,0.21636667898950035,0,,
expertchatai.co,expertchatai,.co,0,12,0,0,1,chat,0,1.9254997697380314,0.5559639300521241,,0.75,-1.675,0.23075784182896458,1.8667862800953963,1.187322823764442,3.2782928808888103,0.23705857014281118,0,,
chat-team.com,chat-team,.com,1,9,1,0,2,chat,0,1.4227872206195502,0.35813674542582113,,0.75,-1.675,0.27942181797218774,1.748525194637578,1.4421141137909386,4.229628287032711,0.27080935638553627,0,,
chat-network101.com,chat-network101,.com,1,15,1,1,2,chat,0,7.999581768317509,0.40709921471607685,,0.75,-1.675,0.06145022160042084,1.727536849711857,1.609971005792493,5.002666177389551,0.29462623011287886,0,,
bestchatmarket.com,bestchatmarket,.com,1,14,0,0,1,chat,0,2.899488145052337,0.15766927255756907,,0.75,-1.675,-0.4440421918951105,1.7604555518970917,1.4856682764322977,4.417916816180175,0.27687174664460695,0,,
chatexperts.com,chatexperts,.com,1,11,0,0,1,chat,0,3.457400211960079,0.401999203316898,,0.75,-1.675,0.6253089583743435,1.7466697107457083,1.8266364133283923,6.212953665152367,0.32709478021289207,0,,
trustedchatapp.com,trustedchatapp,.com,1,14,0,0,1,chat,0,1.4122032709016272,0.560795290594751,,0.75,-1.675,-0.14567357484385596,1.8087026691083172,0.5263013356348023,1.6926601347131767,0.16361279151328517,0,,
fastchatsolutions.com,fastchatsolutions,.com,1,17,0,0,1,chat,0,2.394969187138931,0.17041257695918263,,0.75,-1.675,0.2112183536055378,1.6768962098272802,2.12744105878138,8.393361189453627,0.37500805431107165,0,,
bostonchat2.com,bostonchat2,.com,1,11,0,1,1,chat,0,3.5486013992791805,0.17502076412216833,,0.75,-1.675,0.017263692844845722,1.8517829251236826,1.9974975451444346,7.370588436501067,0.35394303054202825,0,,
chatsimple.com,chatsimple,.com,1,10,0,0,1,chat,0,1.664298733361791,0.17868928854466154,,0.75,-1.675,0.07303221913747013,1.8072957095497142,1.7261605497696184,5.619038420828026,0.31180642063119696,0,,
prochatguide.com,prochatguide,.com,1,12,0,0,1,chat,0,4.159599564088345,0.1660051128722981,,0.75,-1.675,0.1988644011691392,1.8425971446230958,2.0717627692759293,7.938805072418197,0.3659186862105979,0,,
local-chat-connect.com,local-chat-connect,.com,1,18,1,0,3,chat,0,2.3154794827002156,0.36166784721393036,,0.75,-1.675,-0.24360705656033313,1.7084682818377983,0.8927628018761725,2.441866734386704,0.20180258465141862,0,,
chat-bot24.com,chat-bot24,.com,1,10,1,1,2,chat,0,2.7870501709782873,0.36427861127954436,,0.75,-1.675,0.45689084919280815,1.8197351016268846,1.8027090917914521,6.066058734481379,0.3234189655210291,0,,
securechatlive.com,securechatlive,.com,1,14,0,0,1,chat,0,2.313996306606437,0.09490731613157896,,0.75,-1.675,-0.5528268959805455,1.9039341264695708,1.1413894031874026,3.1311157265385146,0.23129249501826724,0,,
securechat.net,securechat,.net,0,10,0,0,1,chat,0,10.088204909968264,0.6331045804018164,,0.75,-1.675,-0.36349470711255955,1.7311594199119829,-0.09245072692153739,0.9116941318342496,0.11257388467075197,0,,
chat-pro.com,chat-pro,.com,1,8,1,0,2,chat,0,3.2933380825393774,0.12566772329842246,,0.75,-1.675,0.4523502810179789,1.7289715434018236,2.2935668145177375,9.910222642303534,0.40263371145458887,0,,
simple-chat-central.com,simple-chat-central,.com,1,19,1,0,3,chat,0,1.7601049582239487,0.41056804177163647,,0.75,-1.675,0.20650166638656492,1.8569565973373812,1.675645598830835,5.342242981818126,0.30426959950315563,0,,
easy-chat-team.co,easy-chat-team,.co,0,14,1,0,3,chat,0,5.438628674855824,0.3046871037561316,,0.75,-1.675,0.8891368841885017,1.7224759158769933,1.724015616483759,5.606998874911961,0.3114843250854921,0,,
chatquick.com,chatquick,.com,1,9,0,0,1,chat,0,1.595989324375377,0.46975230501507487,,0.75,-1.675,0.023922655278595616,1.7813372813474184,1.0572989664533234,2.8785853238030064,0.2209927041376795,0,,
chatbot.co,chatbot,.co,0,7,0,0,1,chat,0,3.763382511048327,0.06176055078311393,,0.75,-1.675,0.5951502537606824,1.9180586143193876,2.5952994364653876,13.400599388819277,0.45430525745273664,0,,
