domain,sld,tld,is_com,length,has_hyphen,has_digit,token_count,cluster_keyword,exact_match,age_years,true_distance,embedding_distance,distance_used,S_k,slope_k,alpha_i,gamma_k,log_price_latent,sale_prob,sold,log_price_obs,price_obs
chat.com,chat,.com,1,4,0,0,1,chat,1,4.472862087709626,0.0,-1.986821492513021e-07,0.0,0.75,-1.675,0.10665097791405097,1.837846975842198,2.5241039063419373,0.44198071678840106,1,2.543908465117041,12.729325996776083
top-chat-solutions.com,top-chat-solutions,.com,1,18,1,0,3,chat,0,3.05579998521241,0.4261367080683376,0.459361473719279,0.459361473719279,0.75,-1.675,-0.3639944371841734,1.7692603269695544,0.6035200560672631,0.17114473319256587,0,,
chatmy.com,chatmy,.com,1,6,0,0,1,chat,0,4.896952744864734,0.277188206479063,0.2239104111989339,0.2239104111989339,0.75,-1.675,0.26265791853226,1.881523495459341,2.3202295135906,0.4071307881947333,0,,
elitechatai.com,elitechatai,.com,1,11,0,0,1,chat,0,8.279792550905297,0.4467680784551829,0.5670574307441711,0.5670574307441711,0.75,-1.675,0.3291976507369248,1.8824156322522185,1.7280508752749772,0.31209043375188694,0,,
quickchathelp.com,quickchathelp,.com,1,13,0,0,1,chat,0,2.884951172382324,0.1883449715335401,0.3305178880691528,0.3305178880691528,0.75,-1.675,-0.6828623160288427,1.8147246265017254,1.433387423655058,0.2696047549140846,0,,
chatmarket.ai,chatmarket,.ai,0,10,0,0,1,chat,0,2.884979591208374,0.4520166857044594,0.4825898011525472,0.4825898011525472,0.75,-1.675,-0.4557628274018113,1.8770126057989474,0.3018944769952533,0.1432353883380292,0,,
securechat360.org,securechat360,.org,0,13,0,1,1,chat,0,8.56366017503583,0.4409400502484393,0.5126575628916423,0.5126575628916423,0.75,-1.675,0.04474414110854988,1.8218116210745703,0.6565303182219061,0.17647295183079062,0,,
chatbest.co,chatbest,.co,0,8,0,0,1,chat,0,5.26173509061362,0.1775726120519656,0.3418441613515218,0.3418441613515218,0.75,-1.675,-0.11068490732025377,1.7550813578573694,0.890961103284131,0.2015995108667073,1,0.8105169480125374,2.249070338654438
truechat.org,truechat,.org,0,8,0,0,1,chat,0,2.5050667188135,0.2553421188626761,0.2587932348251343,0.2587932348251343,0.75,-1.675,-0.005880405126501078,1.8558253471200004,1.1808904048459854,0.23624516931372172,0,,
prochatservice.com,prochatservice,.com,1,14,0,0,1,chat,0,4.59760734669566,0.5589919163398911,0.3308955828348796,0.3308955828348796,0.75,-1.675,-0.298565374650753,1.8088490498062944,0.9468804631039014,0.20797358356022216,0,,
chatguide.com,chatguide,.com,1,9,0,0,1,chat,0,2.5141867321337887,0.0535831584341135,0.4776392380396525,0.4776392380396525,0.75,-1.675,0.30778929120199,1.800107187740359,0.8478788951453528,0.19678909197969277,0,,
chicagochat.com,chicagochat,.com,1,11,0,0,1,chat,0,2.5107013787087142,0.3331345515050982,0.4155834515889486,0.4155834515889486,0.75,-1.675,0.2722271774001319,1.917836285775166,1.605029151953392,0.29390782438900864,1,1.6987981861515276,5.467372677528652
chatprime.com,chatprime,.com,1,9,0,0,1,chat,0,3.8388673530212585,0.2695323148230483,0.2984268466631571,0.2984268466631571,0.75,-1.675,0.023110744146425614,1.6039302297167932,1.4550106251783326,0.2725957270693086,1,1.2966704270436304,3.65709979312551
chatla.com,chatla,.com,1,6,0,0,1,chat,0,1.0534092964415689,0.3988419745403538,0.4356022675832113,0.4356022675832113,0.75,-1.675,0.3945344224388115,1.6865852663872345,1.47221834255257,0.2749907086192993,1,1.2676039635258494,3.5523308429891816
trustedchat1.com,trustedchat1,.com,1,12,0,1,1,chat,0,1.1794512648059208,0.4550294391968705,0.2695511778195699,0.2695511778195699,0.75,-1.675,0.16362826978821596,1.7050343658900504,2.0087988442409332,0.3557540804362814,0,,
simplechatlive24.com,simplechatlive24,.com,1,16,0,1,1,chat,0,2.369378021350628,0.3327821216742985,0.3131132324536642,0.3131132324536642,0.75,-1.675,-0.30075236200913336,1.7709391481944956,1.0472941968200609,0.21978940100613711,0,,
chat-chicago.com,chat-chicago,.com,1,12,1,0,2,chat,0,1.8081447648147648,0.1910074482261813,0.5242139101028442,0.5242139101028442,0.75,-1.675,0.1290627744288746,1.7796313464187177,1.4449839843625083,0.27120624163894075,0,,
mychatassist.com,mychatassist,.com,1,12,0,0,1,chat,0,4.009026322766665,0.528251664867877,0.2658679087956747,0.2658679087956747,0.75,-1.675,-0.3356089102901496,1.6794139481781563,1.184103055631889,0.23665117859453394,0,,
expertchatai.co,expertchatai,.co,0,12,0,0,1,chat,0,1.9254997697380316,0.5559639300521241,0.4507273435592651,0.4507273435592651,0.75,-1.675,0.30745760545754536,1.721187357415134,1.342483508349596,0.2572594764420555,1,1.416116668216845,4.12108578305256
chat-team.com,chat-team,.com,1,9,1,0,2,chat,0,1.4227872206195502,0.3581367454258211,0.3646781047185262,0.3646781047185262,0.75,-1.675,-0.017474068845188512,1.7311326657181145,1.277751833695311,0.24869700523583915,0,,
chat-network101.com,chat-network101,.com,1,15,1,1,2,chat,0,7.999581768317509,0.4070992147160768,0.4185231526692708,0.4185231526692708,0.75,-1.675,-0.0647018272408412,1.9965939273660713,1.569664325636748,0.2887967763690996,1,1.6016347805295537,4.961136167480694
bestchatmarket.com,bestchatmarket,.com,1,14,0,0,1,chat,0,2.899488145052337,0.157669272557569,0.3187076250712077,0.3187076250712077,0.75,-1.675,-0.23832534054137947,1.9441393558197717,1.3938932482460449,0.2641955724756801,0,,
chatexperts.com,chatexperts,.com,1,11,0,0,1,chat,0,3.457400211960079,0.401999203316898,0.2508085966110229,0.2508085966110229,0.75,-1.675,0.4278894685359106,1.7670600465852282,2.122199379091933,0.37414847902964793,0,,
trustedchatapp.com,trustedchatapp,.com,1,14,0,0,1,chat,0,1.4122032709016272,0.560795290594751,0.3462347388267517,0.3462347388267517,0.75,-1.675,-0.054085318724080754,1.7709133367754561,1.429193160115177,0.2690269978627139,0,,
fastchatsolutions.com,fastchatsolutions,.com,1,17,0,0,1,chat,0,2.394969187138931,0.1704125769591826,0.5116514364878337,0.5116514364878337,0.75,-1.675,-0.14991473775708752,1.7080636802249365,0.8239735366203721,0.19415751631253045,0,,
bostonchat2.com,bostonchat2,.com,1,11,0,1,1,chat,0,3.5486013992791805,0.1750207641221683,0.4329025745391845,0.4329025745391845,0.75,-1.675,-0.12324674267088034,1.6473495669419786,1.0238644896759035,0.21698988795512295,0,,
chatsimple.com,chatsimple,.com,1,10,0,0,1,chat,0,1.664298733361791,0.1786892885446615,0.2497197190920512,0.2497197190920512,0.75,-1.675,0.18630821494367203,1.790649585087318,2.3380992289864087,0.4101535759587521,0,,
prochatguide.com,prochatguide,.com,1,12,0,0,1,chat,0,4.159599564088345,0.1660051128722981,0.4945149024327596,0.4945149024327596,0.75,-1.675,0.1279054225274274,1.720171841340478,2.559927420537905,0.4481741047878954,1,2.496696328243327,12.142313407703751
local-chat-connect.com,local-chat-connect,.com,1,18,1,0,3,chat,0,2.315479482700216,0.3616678472139303,0.3432901700337728,0.3432901700337728,0.75,-1.675,0.14445641405859594,1.7932119574670393,1.5388362549850463,0.28438474305082645,1,1.5982624421814906,4.944433716720019
chat-bot24.com,chat-bot24,.com,1,10,1,1,2,chat,0,2.787050170978288,0.3642786112795443,0.2176124850908915,0.2176124850908915,0.75,-1.675,0.15078735105275895,1.671983532076522,1.7788148029071522,0.31976985881865444,0,,
securechatlive.com,securechatlive,.com,1,14,0,0,1,chat,0,2.313996306606437,0.0949073161315789,0.3821903467178345,0.3821903467178345,0.75,-1.675,0.7495766603046614,1.7390420433351794,2.339002503125231,0.410306553518067,1,2.31278310979189,10.10250193787586
securechat.net,securechat,.net,0,10,0,0,1,chat,0,10.088204909968264,0.6331045804018164,0.4778412977854411,0.4778412977854411,0.75,-1.675,-0.14224525573461544,1.8118901676242265,0.7644043550001317,0.18771644201163526,1,0.8149895822375355,2.2591521369167746
chat-pro.com,chat-pro,.com,1,8,1,0,2,chat,0,3.293338082539377,0.1256677232984224,0.2049168944358825,0.2049168944358825,0.75,-1.675,-0.17928495517503806,1.829296767822715,0.830951332160895,0.1949228821069461,1,0.8070174538257279,2.2412134856025996
simple-chat-central.com,simple-chat-central,.com,1,19,1,0,3,chat,0,1.7601049582239487,0.4105680417716364,0.3928260008494059,0.3928260008494059,0.75,-1.675,-0.28482045488675717,1.8333977566993611,1.0852545492489463,0.22437997404834414,1,0.87229732227636,2.39240066051325
